"Tract ID","STATE2KX","CNTY2KX","TRACT2KX","e(0)","se(e(0))","Abridged life table flag"
06001400100,06,001,400100,87.2,2.5534,3
06001400200,06,001,400200,81.5,1.0952,2
06001400300,06,001,400300,87.2,3.5274,3
06001400400,06,001,400400,82.9,1.8118,3
06001400500,06,001,400500,78.8,2.1647,3
06001400600,06,001,400600,78.6,2.4001,3
06001400700,06,001,400700,80.1,2.0179,3
06001400800,06,001,400800,76.9,1.5889,3
06001400900,06,001,400900,74.5,2.21,3
06001401000,06,001,401000,77.5,1.8596,2
06001401100,06,001,401100,80.3,3.0636,3
06001401200,06,001,401200,80,2.6913,3
06001401300,06,001,401300,75.8,1.7997,3
06001401400,06,001,401400,73.5,2.1014,3
06001401500,06,001,401500,77.3,2.8661,3
06001401600,06,001,401600,77.6,3.5769,2
06001401800,06,001,401800,77.6,2.034,2
06001402200,06,001,402200,76.6,2.6682,3
06001402400,06,001,402400,78.1,3.2351,3
06001402600,06,001,402600,75.4,1.0475,2
06001402700,06,001,402700,77.5,2.0026,2
06001402800,06,001,402800,76,2.7737,3
06001402900,06,001,402900,79.6,3.0459,3
06001403000,06,001,403000,81.1,1.8675,3
06001403100,06,001,403100,80,1.5548,2
06001403300,06,001,403300,84.5,3.5298,3
06001403400,06,001,403400,81.9,1.6965,3
06001403501,06,001,403501,80,2.7671,3
06001403502,06,001,403502,79.4,3.2905,3
06001403600,06,001,403600,80.7,2.5415,3
06001403701,06,001,403701,84.4,2.0964,3
06001403800,06,001,403800,83.8,2.5121,3
06001403900,06,001,403900,86.9,3.2987,3
06001404000,06,001,404000,82.5,3.0159,3
06001404101,06,001,404101,82.7,1.7317,3
06001404102,06,001,404102,79.7,2.2063,3
06001404200,06,001,404200,84.2,1.8697,3
06001404300,06,001,404300,83.3,1.6555,3
06001404400,06,001,404400,83.5,1.7128,3
06001404501,06,001,404501,86.1,2.1925,3
06001404502,06,001,404502,82.4,1.3703,3
06001404600,06,001,404600,84,1.6452,3
06001404700,06,001,404700,82.5,1.6124,3
06001404800,06,001,404800,85.2,2.6753,3
06001404900,06,001,404900,85.8,2.9865,3
06001405000,06,001,405000,81.3,1.1745,2
06001405100,06,001,405100,82.4,1.4664,3
06001405200,06,001,405200,84.9,2.9202,3
06001405301,06,001,405301,80,1.7438,2
06001405302,06,001,405302,79.5,1.953,3
06001405401,06,001,405401,80.8,2.5199,3
06001405402,06,001,405402,76,2.4383,3
06001405500,06,001,405500,78.7,2.5516,3
06001405600,06,001,405600,78.2,1.708,3
06001405700,06,001,405700,76.4,1.2541,3
06001405800,06,001,405800,76.6,1.7146,3
